DWD classification (ftp structure),,,,,temporal,attribute group,attribute,attribute-comment,aggregation,spatial-aggregation,spatial,unit,temporal-start,temporal-end,prediction,format,compressed,machine-readable,url,url-comment,recent & historical,now,comment
climate_environment,cdc,observations_global,CLIMAT,raw,multi-annual,pressure,sea level pressure,,mean,,Station,hPa,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/multi_annual/mean_sea_level_pressure/1961_1990.txt,,,,
climate_environment,cdc,observations_global,CLIMAT,raw,multi-annual,precipitation,precipitation,,,,Station,mm,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/multi_annual/precipitation_total/1961_1990.txt,,,,
climate_environment,cdc,observations_global,CLIMAT,raw,multi-annual,sunshine,sunshine duration,,,,Station,hours,1961,1990,,csv,,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_global/CLIMAT/multi_annual/sunshine_duration/1961_1990.txt,,,,
climate_environment,cdc,observations_germany,climate,,10 minutes,collection,"{ ""PP_10"": ""Luftdruck auf Stationshöhe"", ""TT_10"": ""Lufttemperatur in 2m Höhe"", ""TM5_10"": ""Lufttemperatur 5cm Höhe"", ""RF_10"": ""relative Feuchte in 2m Höhe"", ""TD_10"": ""Taupunkttemperatur in 2m Höhe"" }",,,,Station,"{ ""PP_10"": ""hPa"", ""TT_10"": ""°C"", ""TM5_10"": ""°C"", ""RF_10"": ""%"", ""TD_10"": ""°C"" }",1991,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/10_minutes/air_temperature/recent/10minutenwerte_TU_00044_akt.zip,Station ID,TRUE,TRUE,"station ids and locations, https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/10_minutes/air_temperature/recent/zehn_min_tu_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,10 minutes,extreme temperature,extreme temperature,,,,Station,,1991,2020,,csv,TRUE,TRUE,,Station ID,TRUE,TRUE,
climate_environment,cdc,observations_germany,climate,,10 minutes,extreme wind,extreme wind,,,,Station,,1991,2020,,csv,TRUE,TRUE,,Station ID,TRUE,TRUE,
climate_environment,cdc,observations_germany,climate,,10 minutes,precipitation,precipitation,,,,Station,mm,1991,2020,,csv,TRUE,TRUE,,Station ID,TRUE,TRUE,
climate_environment,cdc,observations_germany,climate,,10 minutes,solar,solar,,,,Station,,1991,2020,,csv,TRUE,TRUE,,Station ID,TRUE,TRUE,
climate_environment,cdc,observations_germany,climate,,10 minutes,wind,wind,,,,Station,,1991,2020,,csv,TRUE,TRUE,,Station ID,TRUE,TRUE,
climate_environment,cdc,observations_germany,climate,,10 minutes,wind,wind test,,,,Station,,2010,2020,,csv,TRUE,TRUE,,Station ID,TRUE,TRUE,
climate_environment,cdc,observations_germany,climate,,1 minute,precipitation,precipitation,,,,Station,mm,,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/1_minute/precipitation/recent/1minutenwerte_nieder_00020_akt.zip,Station ID,TRUE,TRUE,"station ids and locations, https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/1_minute/precipitation/recent/ein_min_rr_stationsliste.txt"
climate_environment,cdc,observations_germany,climate,,hourly,temperature air,air temperature,,,,Station,°C,1893,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/air_temperature/recent/stundenwerte_TU_00044_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/air_temperature/historical/TU_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,clouds,cloud types,,,,Station,coud type,1949,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/cloud_type/recent/stundenwerte_CS_00096_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/cloud_type/recent/CS_Stundenwerte_Beschreibung_Stationen.txt"
climate_environment,cdc,observations_germany,climate,,hourly,clouds,cloudiness,,,,Station,coverage rate,1949,2020,,csv,TRUE,TRUE,https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/cloudiness/recent/stundenwerte_N_00096_akt.zip,Station ID,TRUE,,"temporal extent depends on station, station table: https://opendata.dwd.de/climate_environment/CDC/observations_germany/climate/hourly/cloudiness/recent/N_Stundenwerte_Beschreibung_Stationen.txt"
